batch_id,temperature_c,ph_level,initial_brix,dissolved_oxygen_pct,agitation_rpm,fermentation_time_h,inoculum_od600,aeration_vvm,is_anomaly,yield_g_l
BATCH-00001,32.36,6.215,10.6,52.46,435.1,86.58,1.653,1.121,False,65.794
BATCH-00002,27.25,5.32,18.88,58.48,539.5,40.14,2.769,0.697,False,24.28
BATCH-00003,34.05,5.56,15.93,79.42,435.1,83.28,2.353,1.297,False,53.262
BATCH-00004,34.77,5.545,23.28,58.25,466.2,26.3,1.319,1.282,False,7.551
BATCH-00005,23.79,4.893,22.93,43.01,376.3,95.93,1.974,1.185,False,7.049
BATCH-00006,26.25,6.24,15.07,39.93,405.3,69.92,1.596,1.245,False,27.976
BATCH-00007,31.69,5.474,25.25,44.07,344.2,68.71,1.658,1.154,False,55.112
BATCH-00008,30.0,5.86,14.65,62.15,479.2,25.05,1.893,1.762,False,16.993
BATCH-00009,31.14,6.235,18.24,79.4,305.7,87.97,2.11,1.02,False,66.203
BATCH-00010,27.96,6.207,14.1,46.31,462.6,20.26,1.63,0.943,False,8.274
BATCH-00011,34.54,6.382,24.98,29.83,384.7,36.78,2.332,0.786,False,11.196
BATCH-00012,34.16,5.771,12.63,28.93,493.7,29.16,1.229,0.689,False,10.943
BATCH-00013,31.45,5.511,10.72,69.68,460.1,78.59,1.803,0.614,False,77.337
BATCH-00014,35.48,5.786,16.96,75.33,545.7,33.46,3.0,0.739,False,16.512
BATCH-00015,32.98,4.5,25.88,18.42,458.5,89.03,1.912,1.025,False,7.279
BATCH-00016,27.93,4.692,24.27,15.32,274.2,69.19,2.517,1.167,False,8.505
BATCH-00017,32.6,4.792,21.98,57.55,394.6,20.82,1.846,1.068,False,9.487
BATCH-00018,27.56,5.052,24.25,21.69,306.2,18.42,2.09,0.782,False,2.621
BATCH-00019,34.54,6.17,24.3,75.97,358.5,22.03,1.772,1.365,False,8.675
BATCH-00020,31.01,5.126,18.3,34.83,520.9,65.26,1.715,1.309,False,51.505
BATCH-00021,30.5,5.547,15.05,21.51,451.0,80.52,1.41,0.994,False,51.197
BATCH-00022,28.61,6.889,22.35,83.68,344.1,36.61,2.015,0.821,False,7.863
BATCH-00023,35.85,5.565,20.59,23.24,318.9,84.25,1.374,1.242,False,16.849
BATCH-00024,30.61,6.44,15.98,32.78,402.6,22.46,2.133,1.116,False,8.9
BATCH-00025,29.57,5.103,11.51,22.29,302.7,80.48,2.343,0.543,False,23.719
BATCH-00026,29.86,5.686,21.95,19.24,346.3,90.37,1.983,1.026,False,40.031
BATCH-00027,33.22,5.09,14.2,11.69,425.0,78.22,1.657,1.142,False,23.634
BATCH-00028,32.59,5.579,24.99,14.43,492.4,72.45,2.027,0.735,False,35.123
BATCH-00029,32.77,6.522,13.86,23.97,448.7,83.36,1.646,1.116,False,33.903
BATCH-00030,32.84,4.468,11.96,14.27,216.7,21.13,2.268,0.541,False,1.317
BATCH-00031,39.34,6.198,23.3,57.29,424.3,33.74,0.884,1.518,False,0.0
BATCH-00032,29.66,6.04,12.45,64.46,405.8,27.74,1.632,1.487,False,22.412
BATCH-00033,29.25,5.375,12.87,41.49,433.1,57.35,0.805,0.962,False,45.947
BATCH-00034,28.11,4.693,19.59,35.44,529.3,76.12,1.052,1.177,False,18.242
BATCH-00035,33.54,5.908,23.99,50.36,234.9,67.14,2.482,0.207,False,19.589
BATCH-00036,35.49,5.426,13.14,80.0,352.7,84.39,2.248,0.645,True,7.497
BATCH-00037,30.77,6.036,14.97,78.09,447.3,30.11,1.44,0.947,False,25.388
BATCH-00038,28.01,5.867,22.44,13.48,273.5,75.3,1.049,0.675,False,16.16
BATCH-00039,28.07,7.131,25.55,24.52,518.1,33.06,0.5,1.3,False,3.566
BATCH-00040,33.67,5.659,18.01,28.94,429.5,39.12,1.528,1.749,False,25.05
BATCH-00041,34.02,5.031,12.3,29.95,467.7,73.37,3.0,0.638,False,20.718
BATCH-00042,33.26,5.993,10.22,55.7,354.3,94.46,2.017,0.757,False,54.508
BATCH-00043,28.67,6.026,13.67,43.3,465.1,65.7,1.52,1.132,False,57.58
BATCH-00044,32.08,6.937,12.11,13.94,485.5,22.25,2.033,1.614,False,0.0
BATCH-00045,31.64,6.518,20.84,39.89,418.6,66.07,1.02,0.622,False,35.315
BATCH-00046,32.03,6.135,11.95,51.9,418.8,21.3,1.651,1.137,False,14.808
BATCH-00047,34.51,7.021,18.1,18.13,421.6,86.96,1.85,1.687,False,7.77
BATCH-00048,32.05,4.899,21.11,76.68,330.9,73.35,1.757,0.472,False,26.798
BATCH-00049,33.78,5.338,19.3,14.16,388.2,31.5,2.195,0.602,False,9.232
BATCH-00050,31.46,5.109,13.2,83.99,387.8,25.15,1.972,0.902,False,14.629
BATCH-00051,32.3,5.538,22.87,17.93,430.7,32.32,2.134,0.868,False,20.293
BATCH-00052,33.6,4.749,21.45,77.49,480.0,94.44,1.456,1.334,False,24.477
BATCH-00053,25.66,6.358,21.82,82.21,315.3,53.77,2.249,1.135,False,16.951
BATCH-00054,29.99,5.672,12.1,88.37,390.0,79.16,2.614,0.429,False,73.046
BATCH-00055,29.41,4.673,11.98,74.16,518.5,67.64,1.315,1.23,False,24.021
BATCH-00056,28.77,5.038,24.84,72.36,340.5,62.65,1.356,0.848,False,34.333
BATCH-00057,30.15,6.101,16.36,61.4,334.2,29.32,2.468,1.496,False,27.047
BATCH-00058,36.88,6.521,14.82,72.32,416.2,91.79,1.704,0.83,False,12.013
BATCH-00059,27.91,7.447,17.82,20.76,467.6,41.5,2.502,0.827,False,1.114
BATCH-00060,34.88,8.0,20.61,52.89,400.9,63.09,1.579,1.239,False,0.0
BATCH-00061,24.81,6.182,25.29,51.14,506.3,72.58,2.528,1.317,False,16.572
BATCH-00062,29.93,5.058,14.58,78.61,468.5,68.64,1.866,1.207,False,49.369
BATCH-00063,31.82,4.144,24.8,47.02,467.3,91.37,1.929,0.46,False,4.89
BATCH-00064,33.43,6.064,10.4,40.81,444.3,29.58,2.582,1.238,False,19.34
BATCH-00065,33.9,5.2,18.88,61.17,586.2,57.65,1.619,0.688,False,32.88
BATCH-00066,34.21,5.518,20.14,31.32,383.6,49.51,1.329,1.132,False,26.351
BATCH-00067,29.87,5.36,11.69,21.18,239.7,54.99,1.576,0.552,False,19.719
BATCH-00068,29.44,5.737,12.25,48.23,528.3,27.3,2.026,1.206,False,18.249
BATCH-00069,34.46,6.703,16.71,43.35,363.4,28.46,1.017,0.768,False,3.91
BATCH-00070,30.47,5.976,25.46,28.61,408.6,39.69,2.119,0.601,False,25.292
BATCH-00071,26.35,5.723,19.54,39.4,504.8,41.77,1.531,1.3,False,15.989
BATCH-00072,26.89,5.021,24.93,39.31,271.8,51.38,2.374,1.135,False,10.097
BATCH-00073,27.71,4.51,22.87,36.2,299.9,65.66,0.603,0.835,False,4.367
BATCH-00074,33.09,5.461,17.48,40.36,271.9,67.5,1.407,1.558,False,39.807
BATCH-00075,31.74,5.807,22.56,64.86,336.5,50.12,0.957,0.896,False,52.933
BATCH-00076,33.82,7.264,10.29,33.75,435.2,49.89,1.387,1.061,False,4.926
BATCH-00077,29.58,5.954,11.75,85.91,441.9,34.98,1.924,1.144,False,31.874
BATCH-00078,31.8,6.636,23.27,83.31,422.1,63.89,1.71,0.833,False,40.017
BATCH-00079,33.58,5.451,22.75,48.47,287.0,42.73,1.673,1.215,False,27.251
BATCH-00080,30.02,4.902,13.72,36.27,215.2,20.81,1.72,0.863,False,1.644
